,period,hour,Load Profile,price,year,scenario_price
67,2,19,1036.9364335295968,2810.730281944044,2040,high
68,2,20,1002.0890482714309,1919.5562395010384,2040,high
69,2,21,947.3949330638043,1635.7004244588684,2040,high
70,2,22,926.4995668848783,1717.3339264658978,2040,high
71,2,23,906.4878056599606,1990.6498636542613,2040,high
72,3,0,198.23689590033302,27.9128982805514,2040,high
73,3,1,201.4764473351798,31.6845482263011,2040,high
74,3,2,189.7564137446457,23.45118016563155,2040,high
75,3,3,144.7,17.688049526385715,2040,high
76,3,4,181.87779564960144,8.4251441,2040,high
77,3,5,210.01131479755173,35.886563761654564,2040,high
78,3,6,212.73239297533854,84.08841488390566,2040,high
79,3,7,215.55499039226996,371.7982186945101,2040,high
80,3,8,243.5017866539364,513.9248569101792,2040,high
81,3,9,237.78770376493975,1368.8110909787824,2040,high
82,3,10,252.0964779536614,709.4155784549368,2040,high
83,3,11,218.55887216481676,292.4536426589919,2040,high
84,3,12,204.48032910772656,169.97761637856846,2040,high
85,3,13,194.0691685647355,144.05155966368272,2040,high
86,3,14,207.46426960115568,98.4054606734646,2040,high
87,3,15,227.50888080154783,63.647206592064016,2040,high
88,3,16,230.4366231447362,55.36834850818357,2040,high
89,3,17,284.6207041946161,119.70101167647783,2040,high
90,3,18,414.80462564913034,202.8868466248665,2040,high
91,3,19,327.17176814465734,242.90109156142952,2040,high
92,3,20,262.81944758831094,72.42038717711941,2040,high
93,3,21,224.4252339125303,43.791688980281975,2040,high
94,3,22,233.79400941073297,49.02607791655651,2040,high
95,3,23,221.37421820752354,39.635095187944934,2040,high
96,4,0,1004.4971961773399,2324.3479450333284,2040,high
97,4,1,934.503306474243,2617.256993335617,2040,high
